rental_id;car_id;checkin_type;state;delay_at_checkout_in_minutes;previous_ended_rental_id;time_delta_with_previous_rental_in_minutes
524487;380866;mobile;ended;-15;545830;120
525175;280805;connect;ended;9;;
525435;335857;mobile;canceled;;;
525776;285846;mobile;ended;22;;
526081;406054;mobile;canceled;;;
526194;325154;mobile;canceled;;;
527465;381512;mobile;ended;28;;
527709;393442;mobile;ended;106;;
528269;385174;mobile;canceled;;;
528782;370513;mobile;ended;3;;
528783;266641;mobile;canceled;;;
529239;354515;mobile;ended;10;565896;360
529467;372128;mobile;canceled;;;
529492;207715;mobile;ended;-169;;
529693;281955;mobile;ended;-67;;
530325;356434;mobile;ended;-101;;
530357;262206;mobile;ended;14;;
530971;241568;mobile;ended;3371;;
531233;276202;mobile;ended;-19;;
531451;378003;mobile;ended;0;;
531589;290600;connect;canceled;;;
531860;350475;mobile;ended;;;
532171;368448;mobile;ended;9;;
532215;408131;mobile;canceled;;;
532248;332611;mobile;ended;1110;;
532393;406388;mobile;ended;-54;;
532695;320824;connect;ended;0;;
533129;405683;mobile;ended;-138;;
533326;301632;mobile;ended;38;;
533519;386928;mobile;canceled;;;
533720;385295;mobile;ended;6;;
565543;364882;connect;ended;82;;
565548;373925;mobile;ended;-10;;
565581;374698;mobile;ended;-16;;
565675;318715;mobile;ended;107;;
565927;173376;mobile;ended;49;;
566027;414498;mobile;ended;32;;
566069;376311;connect;canceled;;;
566097;389035;mobile;canceled;;;
566123;404483;mobile;ended;142;;
566273;375908;mobile;ended;44;;
566292;414708;mobile;ended;48;;
566331;328506;mobile;ended;-97;;
566385;211860;connect;ended;58;;
566551;334671;mobile;ended;25;;
566661;390467;connect;ended;-651;569297;570
566682;293785;mobile;ended;66;;
566691;374921;mobile;ended;243;;
566709;313772;connect;ended;-73;;
566762;407907;mobile;ended;16;;
566797;386498;mobile;ended;349;;
566908;164960;connect;ended;-44;;
566921;298388;mobile;ended;28;;
567107;228776;mobile;canceled;;;
567120;415953;mobile;ended;27;567178;150
567208;268798;mobile;ended;41;;
567278;241021;connect;ended;-425;563925;240
567353;381940;mobile;canceled;;;
567365;279764;mobile;ended;-35;;
567423;402980;connect;ended;-125;;
567424;414349;mobile;ended;59;;
567433;401968;mobile;ended;100;;
567442;410939;connect;ended;-353;;
567446;366025;mobile;ended;-29;;
567610;399205;mobile;ended;22;;
567636;376840;connect;ended;101;564959;0
567638;307364;connect;canceled;;;
567654;358772;connect;ended;-90;;
567773;314572;mobile;ended;21;;
567774;396250;mobile;ended;4265;;
567777;296295;mobile;ended;30;;
567828;402779;connect;canceled;;;
567980;381223;mobile;ended;;;
